admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,mt,Malta,83640313B95001576216408,Iklin,7810,3502,9858,4.091420682255333,12.660503369738104,5.140528704182643,1.837938843603303,3.5081543222130813
ADM1,my,Malaysia,15666254B13191325950550,Selangor,314201,139093,399761,4.241251476714821,13.537479213531435,5.401905324582592,1.826388350060978,3.692311742276368
ADM1,my,Malaysia,15666254B17824011144250,Sarawak,192997,49982,240547,8.531906504673692,36.347860970208195,10.752917797079691,2.4031825827866284,9.793528286418118
ADM1,my,Malaysia,15666254B40304163283793,Kedah,127594,52729,163422,5.519069092831433,17.987642164418563,7.077137019310006,2.306621482306897,4.8703680893637635
ADM1,my,Malaysia,15666254B4265207353082,Labuan,5410,2437,7085,11.722332774967803,33.9892219970651,15.417650679296171,5.2791009749556,9.15922286557952
ADM1,my,Malaysia,15666254B44964481844598,Perlis,18210,7928,23406,5.710683975940345,17.705096915271813,7.293489408971369,2.5086459086345863,4.8140157184597365
ADM1,my,Malaysia,15666254B50242947747650,Sabah,451446,228277,589040,12.927960130110211,33.27551199778545,16.842243281329168,6.625904097242807,8.791546707568882
ADM1,my,Malaysia,15666254B53495315209756,Malacca,43607,16351,54961,4.2991825405400155,15.305581823745928,5.411804295497868,1.6237063187229497,4.339470132662682
ADM1,my,Malaysia,15666254B53971551003747,Kelantan,97782,34427,124625,5.026762266413963,18.468721079975033,6.37776001609513,1.815787250039284,5.056680548285526
ADM1,my,Malaysia,15666254B54729125478011,Putrajaya,3432,1572,4435,3.941802508809715,11.539480937181825,5.094478991778718,1.8053679093774535,3.162166436913235
ADM1,my,Malaysia,15666254B60207109163985,Negeri Sembilan,56387,23385,71516,4.180869457888411,13.96487622235657,5.324475334846989,1.6900859399564665,3.886742249086758
ADM1,my,Malaysia,15666254B66133841680983,Terengganu,52423,16323,66678,4.828425534813644,18.882319026931377,6.122592604513114,1.551587091858322,5.223098157230306
ADM1,my,Malaysia,15666254B8245728769125,Penang,94473,36280,120474,5.574523455992394,19.30675679677156,7.111111211151214,2.1485187151477105,5.307292531440517
ADM1,my,Malaysia,15666254B89869535683348,Perak,132880,50841,169058,5.038862196382988,17.690678463684314,6.401424618850847,1.9536973457279048,4.812768573984823
ADM1,my,Malaysia,15666254B95627195804992,Johor,208183,58793,257590,4.860499098938229,20.163613803981676,6.015709209902904,1.424442450032672,5.948849662591795
ADM1,my,Malaysia,15666254B97003483933575,Kuala Lumpur,94664,42591,120182,4.101943314418731,12.415492639392117,5.207170587593777,1.843364513562913,3.4410124569966376
ADM1,my,Malaysia,15666254B9931075294568,Pahang,77035,27610,97926,4.536608322812821,16.36122045700539,5.754420748275014,1.6720155963529633,4.510086681848929
ADM1,om,Oman,34121849B22347125700948,Al Wusta,1595,656,2014,3.057456128912676,9.68131099976593,3.861733818263191,1.3519940017642742,2.6578675048849085
ADM1,om,Oman,34121849B25680876316223,Al Batinah,32080,16595,40640,2.47505300467211,6.479101665903249,3.1269554344829302,1.301657980782152,1.747199453218954
ADM1,om,Oman,34121849B44126324887336,Az Zahirah,13149,6722,16635,2.7109617571181595,7.482491237673614,3.424359224600077,1.362540464670767,2.0364062162309744
ADM1,om,Oman,34121849B46195496759633,Ash Sharqiyah,19232,9427,24340,2.7886739095602535,7.827713665728653,3.525511745128946,1.37603688646729,2.1291313104746994
ADM1,om,Oman,34121849B5202702749751,Muscat,38067,19011,48340,2.592876642468153,7.252374148556286,3.273884994482213,1.2916691395150666,1.977747737534559
ADM1,om,Oman,34121849B62039877630128,Ad Dakhiliyah,15324,8260,19304,2.7417348274274542,7.389011617186572,3.4667657208512153,1.40679394707024,1.9978443919478193
ADM1,om,Oman,34121849B63883792947792,Dhofar,12653,6045,16145,2.7803118243123377,8.282201793188458,3.5152588184290106,1.3018586874873448,2.2710527140866583
ADM1,pk,Pakistan,70912109B14644242859774,Azad Kashmir,264802,63065,320339,5.154603413517771,24.51293719517565,6.228585545422616,1.2020044912821577,6.801084333547746
ADM1,pk,Pakistan,70912109B33802611131214,Khyber Pakhtunkhwa,2410735,484519,2827740,5.618485201177203,28.438744129284455,6.677728963283495,1.1377849942771652,7.817289048705925
ADM1,pk,Pakistan,70912109B46012202574770,Islamabad Capital Territory,191114,43087,229947,5.318300068689087,26.15846402338934,6.350033286038777,1.2021472753817166,7.1652854273153
ADM1,pk,Pakistan,70912109B47198256610950,Punjab,6936268,1864625,8460740,5.4860442323237235,25.466749532052432,6.673195311958076,1.3703119853626584,6.968366642154456
ADM1,pk,Pakistan,70912109B54810772831146,Gilgit-Baltistan,61144,12253,72211,5.423563433918289,27.549613388982316,6.420810497617195,1.0880942394896698,7.687092344540157
ADM1,pk,Pakistan,70912109B6328463997838,Balochistan,811302,197360,981842,5.370008984258521,24.543791500368073,6.534844002465008,1.3835609138122047,6.763238493938366
